vid,formula,reduced_formula,seed_jid,seed_delta_n,n_mean,n_std,n_ci_lo,n_ci_hi,n_ci_half,eg_mean,eg_std,eg_ci_lo,eg_ci_hi,eg_ci_half,score,passes_gate
VIRT-00039,Tl2 Ag2 Sn1 Te4,Tl2Ag2SnTe4,JVASP-110967,1.5710892701609915,3.5114646752675376,0.19356289350265432,3.200805675267538,3.8221236752675374,0.310659,0.2933238744735718,0.12467396420196478,-0.7395851255264283,1.3262328744735719,1.032909,-0.23315388212561788,False
VIRT-00058,V4 Cl5 O7,V4Cl5O7,JVASP-42554,1.4496301632164998,3.435046672821045,0.21190840051904677,3.1243876728210447,3.745705672821045,0.310659,0.4627915620803833,0.08894511150043967,-0.5701174379196168,1.4957005620803834,1.032909,-0.2355364493919062,False
VIRT-00006,Cr3 C6,CrC2,JVASP-7697,3.1777182016871555,3.396249850591024,0.3244757274902086,3.085590850591024,3.7069088505910237,0.310659,0.7006959120432535,0.08262446608900881,-0.33221308795674653,1.7336049120432535,1.032909,-0.23562754674623793,False
VIRT-00059,V4 Br5 O7,V4Br5O7,JVASP-42554,1.4496301632164998,3.3022518157958984,0.11547368434518106,2.991592815795898,3.6129108157958987,0.310659,0.599290688832601,0.07853794224174158,-0.43361831116739913,1.6321996888326011,1.032909,-0.24375256493950642,False
VIRT-00044,Li1 Nb3 O8,LiNb3O8,JVASP-48321,1.7815871816699476,2.500384489695231,0.10906484210985415,2.189725489695231,2.8110434896952308,0.310659,2.4054797490437827,0.06907269561669947,1.3725707490437826,3.4383887490437828,1.032909,-0.24502082755530574,False
VIRT-00045,Li1 Ta3 O8,LiTa3O8,JVASP-48321,1.7815871816699476,2.133890231450399,0.05894773814680676,1.823231231450399,2.4445492314503987,0.310659,3.1943352222442627,0.14078904704164996,2.1614262222442626,4.227244222244263,1.032909,-0.25087887367111605,False
VIRT-00051,Ni1 S6 N2,Ni(S3N)2,JVASP-30317,1.5649219871564282,3.119700034459432,0.04315144322042178,2.8090410344594323,3.430359034459432,0.310659,0.8000001112620035,0.1571608306376239,-0.23290888873799653,1.8329091112620035,1.032909,-0.29198644425796866,False
VIRT-00070,Rb1 Be2 Br5,RbBe2Br5,JVASP-52863,0.3493372397045284,1.9150536060333252,0.09727009208802496,1.6043946060333252,2.2257126060333254,0.310659,3.485126574834188,0.22813727805375364,2.452217574834188,4.5180355748341885,1.032909,-0.343104946095109,False
VIRT-00053,Ni1 Sb2 S6,Ni(SbS3)2,JVASP-30317,1.5649219871564282,3.315347592035929,0.35165346821475735,3.0046885920359294,3.626006592035929,0.310659,0.6634395917256674,0.29058104031344245,-0.3694694082743327,1.6963485917256675,1.032909,-0.3489251356773374,False
VIRT-00054,V4 S7 F5,V4S7F5,JVASP-42554,1.4496301632164998,3.1559351285298667,0.11599611885746335,2.845276128529867,3.4665941285298665,0.310659,0.5305481751759847,0.034590176351511806,-0.5023608248240153,1.563457175175985,1.032909,-0.3549269569491045,False
VIRT-00038,Tl2 Cu2 Sn1 Se4,Tl2Cu2SnSe4,JVASP-110967,1.5710892701609915,3.2203367551167807,0.1369727488013804,2.909677755116781,3.5309957551167805,0.310659,0.4637954632441203,0.1232079239411439,-0.5691135367558797,1.4967044632441204,1.032909,-0.3555181904365443,False
VIRT-00002,Na6 Nb2 O8,Na3NbO4,JVASP-42181,0.8195691849464319,1.6157732407251995,0.04638686119087163,1.3051142407251994,1.9264322407251995,0.310659,4.076386610666911,0.28462570538880483,3.043477610666911,5.109295610666911,1.032909,-0.35914559117039335,False
VIRT-00030,Tl8 Sn2 S6,Tl4SnS3,JVASP-9377,1.7585908665133596,3.257445732752482,0.3595735983751451,2.946786732752482,3.5681047327524817,0.310659,0.7277008692423502,0.23225336174207498,-0.30520813075764985,1.7606098692423502,1.032909,-0.3617345774738777,False
VIRT-00046,P2 Pd1 S6,P2PdS6,JVASP-30317,1.5649219871564282,2.8357906341552734,0.03942944003739656,2.525131634155273,3.1464496341552737,0.310659,1.1166666746139526,0.058939905185488105,0.08375767461395256,2.1495756746139527,1.032909,-0.3704564258945211,False
VIRT-00104,K2 H2 Cl4,KHCl2,JVASP-23980,0.3214135708543171,1.6543385585149128,0.07326412266356187,1.3436795585149128,1.9649975585149129,0.310659,4.285747051239014,0.7898338056125397,3.2528380512390136,5.318656051239014,1.032909,-0.3717675420092798,False
VIRT-00085,Yb2 Ga8 O14,YbGa4O7,JVASP-52497,0.6977851711533998,1.7765136162439983,0.04158815921425343,1.4658546162439983,2.0871726162439983,0.310659,3.6392456690470376,0.24905447114993107,2.6063366690470375,4.672154669047037,1.032909,-0.3719837435110845,False
VIRT-00052,Ni1 As2 S6,Ni(AsS3)2,JVASP-30317,1.5649219871564282,3.1683085759480796,0.24508986716242068,2.85764957594808,3.4789675759480794,0.310659,0.7393261194229126,0.2986886627859799,-0.2935828805770875,1.7722351194229127,1.032909,-0.3838375689624489,False
VIRT-00057,Ta4 O7 F5,Ta4O7F5,JVASP-42554,1.4496301632164998,1.8905429442723591,0.018282239400213108,1.5798839442723591,2.201201944272359,0.310659,3.255049784978231,0.21808248873240596,2.222140784978231,4.2879587849782315,1.032909,-0.3939413649761194,False
VIRT-00013,Li5 W1 O5,Li5WO5,JVASP-44828,2.775290382509283,1.9370162884394329,0.04010826673987192,1.6263572884394328,2.247675288439433,0.310659,3.2392707665761313,0.3455480089228287,2.2063617665761313,4.272179766576132,1.032909,-0.39875884284124896,False
VIRT-00003,Na6 Ta2 O8,Na3TaO4,JVASP-42181,0.8195691849464319,1.5537274678548176,0.013822343782950558,1.2430684678548176,1.8643864678548177,0.310659,4.010759671529134,0.2727708848205377,2.9778506715291337,5.043668671529134,1.032909,-0.4050406015440465,False
VIRT-00087,Yb2 B8 Se14,YbB4Se7,JVASP-52497,0.6977851711533998,2.8120338916778564,0.06682862003437162,2.501374891677856,3.1226928916778567,0.310659,1.125627875328064,0.1687674208223841,0.09271887532806389,2.158536875328064,1.032909,-0.41433009774181273,False
VIRT-00047,P2 Pt1 S6,P2PtS6,JVASP-30317,1.5649219871564282,2.7447827657063804,0.16898784174251175,2.4341237657063806,3.05544176570638,0.310659,1.3740790685017903,0.1663986860190361,0.3411700685017902,2.40698806850179,1.032909,-0.42694613446771523,False
